year,country,gov_right1,gov_cent1,gov_left1,gov_party,elect,vturn,womenpar,realgdpgr,inflation,debt_hist,deficit,ttl_labf,labfopar,unemp,pop,pop15_64,pop65,elderly
2012,Bulgaria,92.83,0,0,1,,61,22.9,0.24,2.39,16.8,-0.3,3846.39,77.98,12.3,7305.89,4932.64,1388.28,19
2013,Bulgaria,24.4,0,13.32,3,12/5/2013,51.4,24.6,1.28,0.38,17.1,-0.4,3857.58,79.28,13,7270.57,4865.48,1406.57,19.35
2014,Bulgaria,20.92,0,13.96,3,5/10/2014,51.1,20,1.55,-1.6,27,-5.4,3819.17,79.6,11.4,7232.82,4797.77,1429,19.76
1960,Canada,100,0,0,1,,80.6,1.9,,1.36,65.63,,6530,60.87,6.88,17909,10727,1371,7.66
1961,Canada,100,0,0,1,,80.6,1.9,3.06,1.02,68.17,-2.75,6642,60.92,7.07,18269,10902,1405,7.69
1962,Canada,100,0,0,1,18/06/1962,80.1,1.9,6.83,1.06,67.16,-2.6,6741,60.7,5.84,18615,11106,1433,7.7
1963,Canada,30.41,69.59,0,1,8/4/1963,80.3,2.3,5.11,1.63,67.05,-2.31,6871,60.68,5.49,18965,11323,1462,7.71
1964,Canada,0,100,0,1,,80.3,2.3,6.55,1.91,63.65,-0.68,7052,60.91,4.63,19325,11577,1493,7.73
1965,Canada,0,100,0,1,8/11/1965,75.9,1.5,6.46,2.33,60.12,-0.25,7253,61.21,3.87,19678,11850,1522,7.73
1966,Canada,0,100,0,1,,75.9,1.5,6.56,3.82,56.58,-0.07,7599,62.27,3.35,20048,12204,1558,7.77
1967,Canada,0,100,0,1,,75.9,1.5,2.99,3.58,56.89,-0.82,7853,62.59,3.82,20412,12547,1594,7.81
1968,Canada,0,100,0,1,25/06/1968,75.7,0.4,5.35,4.06,55.87,-0.45,8051,62.51,4.5,20729,12879,1630,7.86
1969,Canada,0,100,0,1,,75.7,0.4,5.33,4.56,53.04,1.2,8291,62.85,4.42,21028,13192,1673,7.96
1970,Canada,0,100,0,1,,75.7,0.4,2.62,3.35,54.65,-0.37,8487,62.82,5.67,21324,13511,1716,8.05
1971,Canada,0,100,0,1,,75.7,0.4,4.12,2.7,55.7,-1.04,8727,63.39,6.19,21962,13767,1763,8.03
1972,Canada,0,100,0,1,30/10/1972,77.2,1.9,5.45,4.99,53.88,-1,8981,63.83,6.22,22218,14071,1808,8.14
1973,Canada,0,100,0,1,,77.2,1.9,6.96,7.49,48.35,0.61,9358,65,5.55,22492,14398,1855,8.25
1974,Canada,0,100,0,1,8/7/1974,71,3.4,3.69,11,46.16,1.13,9720,65.85,5.33,22808,14760,1905,8.35
1975,Canada,0,100,0,1,,71,3.4,1.82,10.67,45.52,-3.63,10054,66.46,6.92,23143,15127,1958,8.46
1976,Canada,0,100,0,1,,71,3.4,5.2,7.54,43.91,-2.86,10565.3,68.31,7.09,23450,15466,2023,8.63
1977,Canada,0,100,0,1,,71,3.4,3.46,7.98,45.42,-4.2,10859.2,68.86,8.05,23726,15770,2089,8.8
1978,Canada,0,100,0,1,,71,3.4,3.95,8.97,48.35,-4.9,11229.6,69.95,8.38,23963,16054,2156,9
1979,Canada,57.81,42.19,0,1,22/05/1979,75.7,3.5,3.8,9.14,45.58,-3.5,11610.7,71.12,7.53,24202,16326,2232,9.22
1980,Canada,16.94,83.06,0,1,18/02/1980,69.3,5,2.16,10.13,45.94,-4.17,11952.4,71.84,7.54,24516,16638,2306,9.41
1981,Canada,0,100,0,1,,69.3,5,3.5,12.47,47.25,-2.9,12309.8,72.79,7.61,24820,16911,2378,9.58
1982,Canada,0,100,0,1,,69.3,5,-3.2,10.77,53.04,-6.92,12376.8,72.17,11.04,25117,17150,2443,9.73
1983,Canada,0,100,0,1,,69.3,5,2.6,5.86,58.7,-8.03,12603.6,72.67,12.02,25366,17344,2500,9.86
1984,Canada,28.96,71.04,0,1,4/9/1984,75.7,9.6,5.93,4.3,61.77,-7.97,12822.9,73.17,11.34,25607,17525,2565,10.02
1985,Canada,100,0,0,1,,75.7,9.6,4.73,3.96,66.86,-8.79,13089.4,74,10.64,25842,17689,2650,10.25
1986,Canada,100,0,0,1,,75.7,9.6,2.16,4.19,71.15,-7.35,13349.1,74.68,9.69,26100,17876,2738,10.49
1987,Canada,100,0,0,1,,75.7,9.6,4.1,4.36,71.6,-5.77,13605,75.24,8.82,26447,18083,2841,10.74
1988,Canada,100,0,0,1,21/11/1988,75.5,13.3,4.43,4.03,71.57,-4.53,13857.1,75.77,7.76,26792,18288,2929,10.93
1989,Canada,100,0,0,1,,75.5,13.3,2.32,4.98,72.83,-4.74,14136,76.02,7.55,27277,18594,3029,11.1
1990,Canada,100,0,0,1,,75.5,13.3,0.15,4.78,76.32,-5.93,14323.6,76.04,8.13,27691.14,18837.27,3124.31,11.28
1991,Canada,100,0,0,1,,75.5,13.3,-2.13,5.63,86.4,-8.39,14414.3,75.75,10.32,28037.42,19029.37,3213.32,11.46
1992,Canada,100,0,0,1,,75.5,13.3,0.88,1.49,91.12,-9.23,14412.1,75.03,11.2,28371.26,19207.62,3292.32,11.6
1993,Canada,84.11,15.89,0,1,25/10/1993,69.6,18,2.66,1.87,102.44,-8.96,14510,74.82,11.38,28684.76,19392.56,3367.14,11.74
1994,Canada,0,100,0,1,,69.6,18,4.49,0.17,100.74,-6.96,14646.7,74.71,10.4,29000.66,19605.2,3435.67,11.85
1995,Canada,0,100,0,1,,69.6,18,2.68,2.15,102.74,-5.51,14759.2,74.46,9.49,29302.31,19821.32,3508.75,11.97
1996,Canada,0,100,0,1,,69.6,18,1.61,1.57,109.14,-3.06,14912.5,74.39,9.62,29610.22,20045.15,3579.5,12.09
1997,Canada,0,100,0,1,2/6/1997,67,20.6,4.28,1.62,103.48,0.04,15141.6,74.69,9.1,29905.95,20273.66,3655.98,12.22
1998,Canada,0,100,0,1,,67,20.6,3.88,1,101.48,0.14,15374.8,75.1,8.28,30155.17,20472.3,3725.61,12.35
1999,Canada,0,100,0,1,,67,20.6,5.16,1.73,92.52,1.66,15643.7,75.59,7.58,30401.29,20696.25,3787.78,12.46
2000,Canada,0,100,0,1,27/11/2000,60.5,20.6,5.18,2.72,84.65,2.65,15898.9,75.89,6.83,30685.73,20950.26,3853.29,12.56
2001,Canada,0,100,0,1,,60.5,20.6,1.77,2.53,85.43,0.53,16147.3,76.01,7.23,31019.02,21242.4,3922.3,12.64
2002,Canada,0,100,0,1,,60.5,20.6,3.01,2.26,83.56,-0.23,16615.1,77.16,7.67,31353.66,21532.36,3991.31,12.73
2003,Canada,0,100,0,1,,60.5,20.6,1.8,2.76,80.11,-0.13,16999.6,78.05,7.58,31639.67,21779.62,4064.33,12.85
2004,Canada,0,100,0,1,28/06/2004,60.9,21.1,3.09,1.86,76.18,0.77,17202.7,78.04,7.18,31940.68,22044.57,4141.45,12.97
2005,Canada,0,100,0,1,,60.9,21.1,3.2,2.21,75.84,1.56,17351.4,77.72,6.76,32245.21,22326.77,4219.84,13.09
2006,Canada,90.14,9.86,0,1,23/01/2006,64.7,20.8,2.62,2,74.58,1.83,17562.9,77.71,6.32,32576.07,22599.46,4324.82,13.28
2007,Canada,100,0,0,1,,64.7,21.3,2.06,2.14,70.63,1.82,17908.3,78.28,6.03,32927.52,22876.09,4431.76,13.46
2008,Canada,100,0,0,1,14/10/2008,58.8,22.1,1,2.37,71.52,0.18,18185,78.55,6.13,33317.66,23150.34,4556.38,13.68
2009,Canada,100,0,0,1,,58.8,22.1,-2.95,0.3,83.9,-3.89,18314.6,78.19,8.27,33726.91,23421.71,4690.56,13.91
2010,Canada,100,0,0,1,,58.8,22.1,3.08,1.78,86.33,-4.75,18517,78.22,8.01,34126.55,23674.48,4830.76,14.16
2011,Canada,100,0,0,1,2/5/2011,61.1,24.8,3.14,2.91,89.14,-3.32,18685.7,78.3,7.45,34483.98,23865.71,4983.36,14.45
2012,Canada,100,0,0,1,,61.1,24.7,1.75,1.52,92.91,-2.53,18875.2,78.55,7.25,34880.49,24030.51,5186.82,14.87
2013,Canada,100,0,0,1,,61.1,24.7,2.22,0.94,90.34,-1.88,19103.3,79.26,7.07,35154,24102,5381,15.31
2014,Canada,100,0,0,1,,61.1,25.1,2.47,1.91,93.18,-0.5,19189.3,79.14,6.91,35540,24246,5585,15.71
2000,Croatia,37.5,12.5,45.83,3,3/1/2000,72.9,20.5,3.77,4.45,34.88,,1802.51,,15.8,4426.23,,,
2001,Croatia,36.87,12.5,46.92,3,,72.9,20.5,3.43,4.26,34.74,,1802.1,62.58,15.9,4300.45,2879.74,701.04,16.3
2002,Croatia,30.42,14.27,55.31,3,,72.9,20.5,5.25,2.54,36.6,-3.5,1803.48,62.68,15.1,4305.44,2877.33,717.12,16.66
2003,Croatia,20.48,18.39,60.96,3,23/11/2003,62.1,20.5,5.56,2.4,38.1,-4.7,1849.99,64.34,14.2,4305.56,2875.11,729.98,16.95
2004,Croatia,6.67,86.67,0,1,,62.1,21.7,4.08,2.14,40.4,-5.2,1873.58,65.14,13.9,4308.29,2876.32,741.28,17.21
2005,Croatia,6.67,86.67,0,1,,62.1,21.7,4.16,2.99,41.3,-3.9,1868.11,64.94,13,4311.67,2876.72,751.45,17.43
2006,Croatia,0.73,92.6,0,1,,62.1,21.7,4.79,3.29,38.9,-3.4,1905.96,66.23,11.6,4313.01,2877.63,758.91,17.6
2007,Croatia,0,93.33,0,1,25/11/2007,59.5,20.9,5.15,2.66,37.7,-2.4,1905.65,66.24,9.9,4315.68,2877.02,765.4,17.74
2008,Croatia,5.39,86.5,0,1,,59.5,20.9,2.05,5.8,39.6,-2.8,1945.13,67.66,8.6,4312.76,2874.93,769.83,17.85
2009,Croatia,5.28,78.87,0,1,,59.5,23.5,-7.38,2.22,49,-6,1944.99,67.66,9.2,4307.28,2874.7,769.26,17.86
2010,Croatia,5.16,81.75,0,1,,59.5,23.5,-1.7,1.09,58.3,-6.2,1922.47,66.88,11.7,4295.97,2874.43,764.12,17.79
2011,Croatia,0.56,82.13,1.68,2,4/12/2011,54.2,23.8,-0.28,2.21,65.2,-7.8,1892.89,65.96,13.7,4281.99,2869.88,763.01,17.82
2012,Croatia,22.73,0,68.18,4,,54.2,23.8,-2.19,3.35,70.7,-5.3,1873.16,65.52,16,4268.44,2858.96,769.25,18.02
2013,Croatia,23.27,0,67.42,4,,54.2,23.8,-1.06,2.33,82.2,-5.3,1853.83,65.17,17.3,4257.45,2844.47,743.03,17.45
2014,Croatia,23.81,0,64.1,4,,54.2,23.8,-0.36,0.22,86.5,-5.5,1902,67.38,17.3,4232.8,2822.8,788.92,18.64
1976,Cyprus,,,,,5/9/1976,85.3,0,,,,,,,,497.95,,,
1977,Cyprus,,,,,,85.3,0,,,,,,,,497.8,,,
1978,Cyprus,44.68,0,14.89,2,,85.3,0,,,,,,,,499.65,,,
1979,Cyprus,56.06,0,18.18,2,,85.3,0,,,,,,,,503.55,,,
1980,Cyprus,69.2,0,12.62,2,,85.3,0,,,,,,,,509.05,,,
1981,Cyprus,9.09,0,0,1,24/05/1981,95.8,2.9,,,,,,,,515.25,,,
1982,Cyprus,47.35,0,0,1,,95.8,2.9,,,,,,,,521.4,,,
1983,Cyprus,61.12,0,0,1,,95.8,2.9,,,,,,,,528.05,,,
1984,Cyprus,54.55,0,0,1,,95.8,2.9,,,,,,,,534.95,,,
1985,Cyprus,66.47,0,0,1,8/12/1985,94.6,1.8,,,,,,,,541.5,,,
1986,Cyprus,66.67,0,0,1,,94.6,1.8,,,,,,,,547.75,,,
1987,Cyprus,66.67,0,0,1,,94.6,1.8,,,,,,,,553.75,,,
1988,Cyprus,10.56,0,0,1,,94.6,1.8,,,,,,,,559.65,,,
1989,Cyprus,0,0,0,,,94.6,1.8,,,,,,,,567.7,,,
1990,Cyprus,0,0,0,,,94.6,1.8,,,,,,,,579.9,,,
1991,Cyprus,0,0,0,,19/05/1991,93,5.4,0.74,,,,,,,595.1,,,
1992,Cyprus,0,0,0,,,93,5.4,9.69,,,,,,,611.15,,,
1993,Cyprus,70.78,0,0,1,,93,3.6,0.7,,,,,,,626.05,398.61,69.07,11.03
1994,Cyprus,83.33,0,0,1,,93,3.6,5.9,,,,,,,639.15,408.16,70.49,11.03
1995,Cyprus,89,0,0,1,,93,3.6,9.92,,47.9,-0.7,311.34,74.58,2.6,650.85,417.48,71.85,11.04
1996,Cyprus,91.67,0,0,1,26/05/1996,92.9,5.4,1.62,,49.2,-3,315.4,73.96,3.1,661.3,426.43,73.18,11.07
1997,Cyprus,91.67,0,0,1,,92.9,5.4,2.39,3.32,53.2,-4.8,318.73,73.29,5.2,670.75,434.91,74.45,11.1
1998,Cyprus,84.66,0,14.02,2,,92.9,5.4,5.05,2.34,54.8,-3.8,322.82,72.83,5.1,679.05,443.27,75.53,11.12
1999,Cyprus,99.82,0,0.18,2,,92.9,5.4,4.7,1.14,55.1,-4,329.54,72.99,5.4,686.7,451.51,72.88,10.61
2000,Cyprus,100,0,0,1,,92.9,7.1,5.72,4.86,55.1,-2.2,332.56,72.38,4.8,694,459.46,78.08,11.25
2001,Cyprus,100,0,0,1,27/05/2001,90.5,10.7,3.59,1.98,56.9,-2.1,337.37,72.18,3.9,701.5,467.41,80.47,11.47
2002,Cyprus,100,0,0,1,,90.5,10.7,3.23,2.79,60.1,-4.1,343.1,72.13,3.5,709.61,475.69,83.18,11.72
2003,Cyprus,43.93,0,42.05,3,,90.5,10.7,2.81,3.96,63.5,-5.9,356.9,73.65,4.1,718.31,484.57,85.11,11.85
2004,Cyprus,28.12,0,50,3,,90.5,16.1,4.6,1.9,64.5,-3.7,372.41,75.38,4.6,727.98,494.02,87.23,11.98
2005,Cyprus,25,0,42.37,3,,90.5,16.1,3.88,2.04,63.2,-2.2,388.26,77.03,5.3,738.54,504.03,89.5,12.12
2006,Cyprus,42.78,0,41.67,3,21/05/2006,89,14.3,4.52,2.25,59.1,-1,392.59,76.19,4.6,750.97,515.29,92.17,12.27
2007,Cyprus,36.58,0,30.09,3,,89,14.3,4.93,2.16,53.9,3.2,405.8,76.56,3.9,767.13,530.01,95.04,12.39
2008,Cyprus,29.03,0,51.62,3,,89,14.3,3.65,4.38,45.1,0.9,415.61,75.87,3.7,786.63,547.8,97.86,12.44
2009,Cyprus,25,0,58.33,3,,89,12.5,-2.03,0.17,53.9,-5.5,421.95,74.52,5.4,808.04,566.22,101.04,12.5
2010,Cyprus,25,0,45.78,3,,89,12.5,1.36,2.56,56.3,-4.8,429.98,73.66,6.3,829.45,583.74,104.62,12.61
2011,Cyprus,14.79,0,43.38,4,22/05/2011,78.7,10.7,0.4,3.49,65.8,-5.7,439.85,73.23,7.9,850.88,600.63,108.48,12.75
2012,Cyprus,0,0,33.42,5,,78.7,10.7,-2.45,3.1,79.3,-5.8,444.55,72.94,11.9,863.95,609.49,112.44,13.01
2013,Cyprus,83.33,0,3.97,2,,78.7,10.7,-5.94,0.38,102.5,-4.9,438.11,72.47,15.9,861.94,604.52,116.73,13.54
2014,Cyprus,72.99,0,0,1,,78.7,12.5,-2.5,-0.26,108.2,-8.9,430.14,72.69,16.1,852.5,591.74,121.36,14.24
1990,Czech Republic,47.62,14.29,0,1,9/6/1990,96.8,,,,,,5034,73.56,,10362.74,6843.45,1296.02,12.51
1991,Czech Republic,47.62,14.29,0,1,,96.8,,-14.22,,,,5039,73.55,,10308.68,6851.03,1309.77,12.71
1992,Czech Republic,63.2,17.65,0,1,6/6/1992,85,10,-6.39,11.09,,,5018,72.69,,10317.81,6903.12,1322.69,12.82
1993,Czech Republic,78.95,21.05,0,1,,85,10,-0.94,20.81,22.12,,5093.57,73.22,4.2,10330.61,6956.8,1336.92,12.94
1994,Czech Republic,78.95,16.02,0,1,,85,10,2.62,10.04,20.07,,5147.94,73.48,4.2,10336.16,7006.26,1350.91,13.07
1995,Czech Republic,78.95,15.79,0,1,,85,10,5.94,9.03,17.65,-12.44,5170.63,73.4,3.9,10330.76,7043.98,1365.7,13.22
1996,Czech Republic,77.22,19.82,0,1,1/6/1996,76.3,15,4.16,8.77,16.23,-3.08,5173.46,73.21,3.8,10315.35,7066.24,1381.58,13.39
1997,Czech Republic,74.08,25,0,1,,76.3,15,-0.7,8.59,16.6,-3.5,5184.84,73.14,4.7,10303.64,7089.06,1396.32,13.55
1998,Czech Republic,27.99,11.66,35.04,3,20/06/1998,73.9,15,-0.3,10.7,17.51,-4.65,5201.46,73.11,6.5,10294.94,7114.1,1407.92,13.68
1999,Czech Republic,0,0,94.58,5,,73.9,15,1.27,2.1,23.45,-3.45,5218.21,73.1,8.7,10282.78,7138.09,1416.01,13.77
2000,Czech Republic,0,0,94.12,5,,73.9,15,4.64,3.8,23.99,-3.46,5186.11,72.38,8.8,10272.5,7165.25,1421.85,13.84
2001,Czech Republic,0,0,94.12,5,,73.9,15,3.04,4.68,27.99,-5.33,5171.17,72.14,8.1,10224.19,7168.11,1413.21,13.82
2002,Czech Republic,8.22,8.22,80.42,4,15/06/2002,58,17,1.56,1.88,30.16,-6.27,5173.03,72.05,7.3,10200.77,7180.17,1415.63,13.88
2003,Czech Republic,17.65,17.65,59.66,3,,58,17,3.6,0.11,32.65,-6.4,5132.33,71.18,7.8,10201.65,7210.64,1419.77,13.92
2004,Czech Republic,17.25,17.25,58.57,3,,58,17,4.79,2.78,32.49,-2.72,5132.5,70.89,8.3,10206.92,7239.72,1427.89,13.99
2005,Czech Republic,12.85,16.67,52.24,3,,58,17,6.51,1.84,32.23,-3.11,5174.17,71.12,7.9,10234.09,7274.86,1445.22,14.12
2006,Czech Republic,27.49,11.89,27.75,3,2/6/2006,64.5,15.5,7.07,2.54,31.98,-2.25,5199.36,71.15,7.1,10266.65,7307.59,1468.86,14.31
2007,Czech Republic,50.22,21.74,16.3,2,,64.5,15.5,5.51,2.86,30.67,-0.69,5198.33,70.72,5.3,10322.69,7350.51,1495.67,14.49
2008,Czech Republic,50,22.22,16.67,2,,64.5,15.5,2.54,6.34,34.6,-2.11,5232.33,70.57,4.4,10429.69,7414.53,1535.54,14.72
2009,Czech Republic,17.4,7.73,5.8,2,,64.5,15.5,-4.7,1.03,41.39,-5.51,5286.46,71.2,6.7,10491.49,7425.08,1578.39,15.04
2010,Czech Republic,43.98,0,0,1,29/05/2010,62.6,22,2.14,1.46,46.32,-4.42,5268.97,71.26,7.3,10517.25,7394.32,1616.84,15.37
2011,Czech Republic,88.68,0,0,1,,62.6,22,1.97,1.93,48.98,-2.73,5257.63,72.07,6.7,10496.67,7295.6,1669.22,15.9
2012,Czech Republic,81.95,0,0,1,,62.6,22,-0.82,3.29,58.6,-3.95,5256.95,72.77,7,10509.29,7224.2,1734.37,16.5
2013,Czech Republic,37.11,3.2,0,1,26/10/2013,59.5,19.5,-0.53,1.42,58.41,-1.25,5306.02,74.25,7,10510.72,7145.82,1796.26,17.09
2014,Czech Republic,32.59,16.8,43.45,3,,59.5,19.5,1.95,0.35,57.57,-1.95,5297.89,74.8,6.1,10524.78,7082.69,1852.88,17.6
1960,Denmark,44.19,0,55.11,3,15/11/1960,85.8,9.5,,,32.98,,2094,71.22,1.2,4579.6,2940.03,485.22,10.6
1961,Denmark,29.41,0,64.71,4,,85.8,9.5,6.38,3.95,26.91,,2124,,1.1,4611.69,2975.56,497.32,10.78
1962,Denmark,29.41,0,64.71,4,,85.8,9.5,5.67,7.52,25.1,,2155,,1.1,4647.73,3011.98,508.88,10.95
1963,Denmark,29.41,0,64.71,4,,85.8,9.5,0.64,5.52,22.48,,2186,,1.5,4684.48,3042.27,520.12,11.1
1964,Denmark,21.62,0,74.06,4,22/09/1964,85.5,9.5,9.27,3.54,23.79,,2218,,1.2,4722.07,3065.7,531.37,11.25
1965,Denmark,0,0,100,5,,85.5,9.5,4.56,6.32,21.16,,2252,73,0.9,4759.01,3084.84,542.2,11.39
1966,Denmark,0,0,100,5,22/11/1966,88.6,10.6,2.74,6.83,18.37,,2295,,1.1,4797.38,3101.67,552.92,11.53
1967,Denmark,0,0,100,5,,88.6,10.6,5.65,7.7,16.57,,2340,75.04,1,4835.35,3118.39,564.56,11.68
1968,Denmark,91.53,0,8.47,2,23/01/1968,89.3,10.6,5.67,8.01,15.42,,2348,,1,4864.88,3133.58,577.57,11.87
1969,Denmark,100,0,0,1,,89.3,10.6,6.48,3.49,13.78,,2356,74.79,0.9,4891.86,3150.02,590.89,12.08
1970,Denmark,100,0,0,1,,89.3,10.6,1.5,6.51,12.47,,2380,74.94,0.6,4928.76,3175.78,604.95,12.27
1971,Denmark,77.53,0,21.22,2,21/09/1971,87.2,17.3,3,5.87,12.63,2.1,2409,75.36,0.9,4963.13,3196.87,619.2,12.48
1972,Denmark,0,0,94.44,5,,87.2,17.3,4.17,6.56,10.83,2.65,2424,75.52,0.8,4991.6,3209.91,633.05,12.68
1973,Denmark,3.56,0,91.08,4,4/12/1973,88.7,15.1,3.76,9.3,9.68,2.64,2447,75.87,0.7,5021.86,3225.41,647.42,12.89
1974,Denmark,100,0,0,1,,88.7,15.1,-0.82,15.28,8.37,1.33,2479,76.62,2.8,5045.3,3235.49,662.75,13.14
1975,Denmark,11.78,0,88.22,4,9/1/1975,88.2,15.6,-1.22,9.61,7.05,-3.83,2486,76.76,3.9,5059.86,3238.87,677.56,13.39
1976,Denmark,0,0,100,5,,88.2,15.6,6.09,9.01,7.38,-2.48,2495,76.88,5.1,5072.6,3245.17,690.57,13.61
1977,Denmark,0,0,100,5,15/02/1977,88,16.8,1.98,10.92,14.44,-2.37,2537,77.87,5.9,5088.42,3257.98,704.24,13.84
1978,Denmark,11.32,0,88.68,4,,88,16.8,2.27,10.21,23.13,-2.08,2578,78.72,6.6,5104.25,3275.05,718.04,14.07
1979,Denmark,27.21,0,72.79,4,23/10/1979,85.6,23.5,3.95,9.61,31.83,-3,2631,79.84,4.6,5116.8,3295.44,729.44,14.26
1980,Denmark,0,0,100,5,,85.6,23.5,-0.49,12.31,44.46,-4.59,2685,80.95,4.9,5123.03,3316.78,738.09,14.41
1981,Denmark,0,0,100,5,8/12/1981,83.2,23.5,-0.89,11.77,54.48,-8.06,2675,80.11,7.9,5121.57,3339.23,744.75,14.54
1982,Denmark,23.59,7.37,69.04,4,,83.2,23.5,3.71,10.12,66.24,-9.89,2700,80.36,8.4,5117.81,3360.01,751.5,14.68
1983,Denmark,76.19,23.81,0,1,,83.2,23.5,2.65,6.91,77.08,-7.65,2695.4,79.86,8.4,5114.3,3375.2,758.25,14.83
1984,Denmark,76.19,23.81,0,1,10/1/1984,88.4,26.3,4.17,6.29,78.39,-4.45,2748.9,81.14,7.9,5111.62,3387.76,763.81,14.94
1985,Denmark,76.19,23.81,0,1,,88.4,26.3,4.02,4.68,75.96,-2.64,2785.1,81.93,6.7,5113.69,3399.27,771.49,15.09
1986,Denmark,76.19,23.81,0,1,,88.4,26.3,4.95,3.68,73.19,2.84,2846.7,83.42,5,5120.53,3412.61,781.38,15.26
1987,Denmark,77.93,22.07,0,1,8/9/1987,86.7,29,0.29,4.02,69.93,1.8,2834.2,82.65,5,5127.02,3428.99,788.41,15.38
1988,Denmark,92.35,7.65,0,1,10/5/1988,85.7,30.7,-0.14,4.54,68.48,1.04,2903.9,84.4,5.7,5129.52,3440.75,793.47,15.47
1989,Denmark,100,0,0,1,,85.7,30.7,0.57,4.77,66.69,-0.15,2898.6,84.03,6.8,5132.59,3449.5,798.16,15.55
1990,Denmark,100,0,0,1,12/12/1990,81.4,33,1.61,2.64,67.56,-1.77,2931.5,84.66,7.2,5140.94,3462.64,801.21,15.58
1991,Denmark,100,0,0,1,,81.4,33,1.3,2.4,68.43,-3.06,2932.9,84.35,7.9,5154.3,3477.01,803,15.58
1992,Denmark,100,0,0,1,,81.4,33,1.98,2.1,72.34,-2.84,2933.2,84.07,8.6,5171.37,3488.96,803.65,15.54
1993,Denmark,18.25,23.36,58.39,3,,81.4,33,-0.09,1.26,86.49,-4.14,2910,83.13,9.6,5188.63,3500.51,802.21,15.46
1994,Denmark,13.15,21.1,65.75,3,21/09/1994,84.3,33.5,5.53,1.99,80.3,-3.81,2805.7,79.91,7.7,5206.18,3511.23,799.87,15.36
1995,Denmark,15,10,75,4,,84.3,33.5,3.07,2.08,81.56,-3.62,2832.2,80.32,6.7,5233.37,3525.99,797.09,15.23
1996,Denmark,15.03,9.95,75.02,4,,84.3,33.5,2.9,2.13,79.13,-2.48,2849.2,80.47,6.3,5263.07,3540.51,794.25,15.09
1997,Denmark,20.84,0,79.16,4,,84.3,33,3.26,2.18,75,-1.2,2860.8,80.63,5.2,5284.99,3548.2,792.23,14.99
1998,Denmark,20,0,80,4,11/3/1998,86,37.4,2.22,1.85,72.57,-0.39,2855,80.35,4.9,5304.22,3553.34,790.97,14.91
1999,Denmark,20,0,80,4,,86,37.4,2.95,2.5,67.1,0.87,2889.8,81.24,5.2,5321.8,3556.97,790.43,14.85
2000,Denmark,20,0,80,4,,86,37.4,3.75,2.9,60.46,1.89,2873.5,80.7,4.3,5339.62,3560.69,791.17,14.82
2001,Denmark,27.67,0,72.33,4,20/11/2001,87.1,38,0.82,2.34,58.28,1.14,2862.4,80.28,4.5,5358.78,3565.73,793.26,14.8
2002,Denmark,100,0,0,1,,87.1,38,0.47,2.42,58.15,-0.02,2891.9,81,4.6,5375.93,3570.34,796.47,14.82
2003,Denmark,100,0,0,1,,87.1,38,0.39,2.08,56.07,-0.13,2885.8,80.75,5.4,5390.57,3573.8,801.46,14.87
2004,Denmark,100,0,0,1,,87.1,38,2.64,1.15,52.36,2.07,2923.7,81.71,5.5,5404.52,3578.12,808.54,14.96
2005,Denmark,100,0,0,1,8/2/2005,84.5,36.9,2.44,1.82,45.1,4.95,2920,81.46,4.8,5419.43,3584.66,817.77,15.09
2006,Denmark,100,0,0,1,,84.5,36.9,3.8,1.92,40.48,4.99,2947.1,82.01,3.9,5437.27,3593.37,828.89,15.24
2007,Denmark,100,0,0,1,13/11/2007,86.6,38,0.82,1.69,34.59,5.02,2940.5,81.56,3.8,5461.44,3605.51,843.89,15.45
2008,Denmark,100,0,0,1,,86.6,38,-0.72,3.42,42.03,3.18,2983.2,82.4,3.4,5493.62,3620.35,864.27,15.73
2009,Denmark,100,0,0,1,,86.6,38,-5.09,1.3,49.5,-2.81,2974.5,81.96,6,5523.1,3629.22,889.18,16.1
2010,Denmark,100,0,0,1,,86.6,38,1.63,2.31,53.81,-2.73,2952.4,81.31,7.5,5547.68,3631.16,918.32,16.55
2011,Denmark,81.77,0,18.23,2,15/09/2011,87.7,39.1,1.15,2.76,60.55,-2.07,2951.1,81.32,7.6,5570.57,3628.87,950.93,17.07
2012,Denmark,26.09,0,73.91,4,,87.7,39.1,-0.07,2.4,61.01,-3.51,,,7.5,5591.57,3625.6,983.94,17.6
2013,Denmark,26.56,0,73.44,4,,87.7,39.1,-0.24,0.79,57.47,-1.07,,,7,5614.93,3628.53,1013.27,18.05
2014,Denmark,32.64,0,67.36,4,,87.7,39.1,1.26,0.56,60.03,1.47,,,6.6,,,,
1992,Estonia,50,0,21.43,2,20/09/1992,67.8,13.7,,,,,792.6,78.38,,1533.09,1011.27,187.51,12.23
1993,Estonia,50,0,21.43,2,,67.8,13.7,,,,,750.7,76.28,6.6,1494.13,984.12,189.85,12.71
1994,Estonia,50,0,21.43,2,,67.8,13.7,-1.64,,,,734,76.26,7.6,1462.51,962.49,191.97,13.13
1995,Estonia,20.99,19.57,51.15,3,5/3/1995,68.9,12.9,4.53,,13.29,1.08,704.5,74.56,9.8,1436.63,945.04,194.36,13.53
1996,Estonia,40,0,60,3,,68.9,12.9,5.22,19.8,12.25,-0.35,689.6,74.01,10.2,1415.59,931.62,197.34,13.94
